name,calories,total_fat,sodium,protein,carbohydrate,sugars,food_group
Cornstarch,381,0.1g,9.00 mg,0.26 g,91.27 g,0.00 g,grains
"Nuts, pecans",691,72g,0.00 mg,9.17 g,13.86 g,3.97 g,grains
"Eggplant, raw",25,0.2g,2.00 mg,0.98 g,5.88 g,3.53 g,grains
"Teff, uncooked",367,2.4g,12.00 mg,13.30 g,73.13 g,1.84 g,grains
"Sherbet, orange",144,2g,46.00 mg,1.10 g,30.40 g,24.32 g,grains
"Cauliflower, raw",25,0.3g,30.00 mg,1.92 g,4.97 g,1.91 g,grains
"Taro leaves, raw",42,0.7g,3.00 mg,4.98 g,6.70 g,3.01 g,grains
"Lamb, raw, ground",282,23g,59.00 mg,16.56 g,0.00 g,0.00 g,grains
"Cheese, camembert",300,24g,842.00 mg,19.80 g,0.46 g,0.46 g,grains
Vegetarian fillets,290,18g,490.00 mg,23.00 g,9.00 g,0.80 g,grains
"PACE, Picante Sauce",25,0g,781.00 mg,0.00 g,6.25 g,6.25 g,grains
"Goji berries, dried",349,0.4g,298.00 mg,14.26 g,77.06 g,45.61 g,grains
"Mango nectar, canned",51,0.1g,5.00 mg,0.11 g,13.12 g,12.45 g,grains
"Crackers, rusk toast",407,7.2g,253.00 mg,13.50 g,72.30 g,0,grains
"Chicken, boiled, fee",215,15g,67.00 mg,19.40 g,0.20 g,0.00 g,grains
"Pie, lemon, fried pi",316,16g,374.00 mg,3.00 g,42.60 g,0,grains
"Peppers, raw, jalape",29,0.4g,3.00 mg,0.91 g,6.50 g,4.12 g,grains
"Winged bean tuber, r",148,0.9g,35.00 mg,11.60 g,28.10 g,0,grains
"Salami, turkey, cook",172,9.2g,1107.00 mg,19.20 g,1.55 g,1.12 g,grains
"Grapes, raw, muscadi",57,0.5g,1.00 mg,0.81 g,13.93 g,0,grains
"Nuts, raw, ginkgo nu",182,1.7g,7.00 mg,4.32 g,37.60 g,0,grains
"Spices, ground, savo",272,5.9g,24.00 mg,6.73 g,68.73 g,0,grains
"Candies, sesame crun",516,33g,167.00 mg,11.60 g,50.30 g,31.17 g,grains
"Cheese, low fat, cre",201,15g,359.00 mg,7.85 g,8.13 g,5.82 g,grains
"PACE, Green Taco Sau",25,0g,0,0.00 g,6.25 g,6.25 g,grains
"Syrup, Canadian, map",270,0g,9.00 mg,0.00 g,67.38 g,59.92 g,grains
"Ostrich, raw, top lo",119,3g,81.00 mg,21.67 g,0.00 g,0.00 g,grains
"Chewing gum, sugarle",268,0.4g,7.00 mg,0.00 g,94.80 g,0.00 g,grains
"Nuts, dried, pine nu",673,68g,2.00 mg,13.69 g,13.08 g,3.59 g,grains
"Pasta, unenriched, d",371,1.5g,6.00 mg,13.04 g,74.67 g,2.67 g,grains
"McDONALD'S, Side Sal",20,0.2g,12.00 mg,1.03 g,4.30 g,2.24 g,grains
"Cookies, Marie biscu",406,11g,370.00 mg,7.05 g,70.54 g,21.16 g,grains
"Broccoli, raw, chine",30,0.8g,7.00 mg,1.20 g,4.67 g,0.88 g,grains
"McDONALD'S, Hash Bro",271,16g,580.00 mg,2.48 g,28.56 g,0.54 g,grains
"Agave, raw (Southwes",68,0.2g,14.00 mg,0.52 g,16.23 g,2.58 g,grains
"Emu, raw, outside dr",103,0.5g,100.00 mg,23.08 g,0.00 g,0.00 g,grains
"Nuts, dried, beechnu",576,50g,38.00 mg,6.20 g,33.50 g,0,grains
"Currants, dried, zan",283,0.3g,8.00 mg,4.08 g,74.08 g,67.28 g,grains
"Lentils, raw, sprout",106,0.6g,11.00 mg,8.96 g,22.14 g,0,grains
"Gravy, mix, dry, oni",322,3g,4186.00 mg,9.00 g,67.64 g,0,grains
"Pie, fruit, fried pi",316,16g,333.00 mg,3.00 g,42.60 g,21.40 g,grains
"Snacks, cakes, popco",384,3.1g,288.00 mg,9.70 g,80.10 g,0.72 g,grains
"Snack, Mixed Berry B",383,11g,447.00 mg,13.16 g,58.84 g,26.32 g,grains
"Fish, raw, sheepshea",108,2.4g,71.00 mg,20.21 g,0.00 g,0,grains
"Babyfood, pear, juic",47,0g,8.00 mg,0.00 g,11.86 g,7.28 g,grains
"Brussels sprouts, ra",43,0.3g,25.00 mg,3.38 g,8.95 g,2.20 g,grains
"Broccoli raab, cooke",33,0.5g,56.00 mg,3.83 g,3.12 g,0.62 g,grains
"Butter oil, anhydrou",876,99g,2.00 mg,0.28 g,0.00 g,0.00 g,grains
"Chicory, raw, witloo",17,0.1g,2.00 mg,0.90 g,4.00 g,0,grains
"KEEBLER, Waffle Cone",424,5.3g,149.00 mg,6.50 g,87.70 g,31.60 g,grains
"KEEBLER, Waffle Bowl",424,5.3g,149.00 mg,6.50 g,87.70 g,31.60 g,grains
"Broccoli, raw, leave",28,0.4g,27.00 mg,2.98 g,5.06 g,1.48 g,grains
"Durian, raw or froze",147,5.3g,2.00 mg,1.47 g,27.09 g,0,grains
"Tomatoes, raw, orang",16,0.2g,42.00 mg,1.16 g,3.18 g,0,grains
"Tomatoes, raw, yello",15,0.3g,23.00 mg,0.98 g,2.98 g,0,grains
"Egg custards, dry mi",410,6.4g,281.00 mg,6.90 g,82.80 g,0,grains
"Peanut flour, low fa",428,22g,1.00 mg,33.80 g,31.27 g,0,grains
"Fish, smoked, haddoc",116,1g,763.00 mg,25.23 g,0.00 g,0.00 g,grains
"DENNY'S, french frie",282,14g,44.00 mg,3.41 g,35.20 g,0.85 g,grains
"Ground turkey, cooke",203,10g,78.00 mg,27.37 g,0.00 g,0.00 g,grains
"WENDY'S, french frie",301,14g,219.00 mg,3.73 g,39.73 g,0.40 g,grains
"Danish pastry, chees",374,22g,417.00 mg,8.00 g,37.20 g,6.95 g,grains
"Nuts, glazed, walnut",500,36g,446.00 mg,8.28 g,47.59 g,32.14 g,grains
"Spices, garlic powde",331,0.7g,60.00 mg,16.55 g,72.73 g,2.43 g,grains
"Oil, soybean lecithi",763,100g,0.00 mg,0.00 g,0.00 g,0.00 g,grains
"Egg, fresh, raw, yol",322,27g,48.00 mg,15.86 g,3.59 g,0.56 g,grains
"Fireweed, raw, leave",103,2.8g,34.00 mg,4.71 g,19.22 g,0,grains
"Beef, pastrami, cure",147,5.8g,1078.00 mg,21.80 g,0.36 g,0.10 g,grains
"Frankfurter, meatles",233,14g,471.00 mg,19.61 g,7.70 g,0.00 g,grains
"Emu, raw, flat fille",102,0.7g,150.00 mg,22.25 g,0.00 g,0.00 g,grains
"Emu, raw, inside dru",108,1.5g,102.00 mg,22.22 g,0.00 g,0.00 g,grains
"Snacks, potato stick",522,34g,633.00 mg,6.70 g,53.30 g,0.22 g,grains
"USDA Commodity, sals",36,0.2g,430.00 mg,1.50 g,7.00 g,0,grains
"Figs, uncooked, drie",249,0.9g,10.00 mg,3.30 g,63.87 g,47.92 g,grains
"Game meat, raw, hors",133,4.6g,53.00 mg,21.39 g,0.00 g,0,grains
"Syrup, fruit flavore",261,0g,0.00 mg,0.00 g,65.10 g,65.00 g,grains
"Broccoli, raw, stalk",28,0.4g,27.00 mg,2.98 g,5.24 g,0,grains
"Cream, cultured, sou",198,19g,31.00 mg,2.44 g,4.63 g,3.41 g,grains
"Gravy, canned, au ju",16,0.2g,478.00 mg,1.20 g,2.50 g,0,grains
"McDONALD'S, Hamburge",264,10g,494.00 mg,12.92 g,30.28 g,6.03 g,grains
"Cheese, port de salu",352,28g,534.00 mg,23.78 g,0.57 g,0.57 g,grains
SILK Original Creame,100,6.7g,67.00 mg,0.00 g,6.67 g,0.00 g,grains
SILK Hazelnut Creame,133,6.7g,67.00 mg,0.00 g,20.00 g,20.00 g,grains
"Soup, mix, dry, onio",293,0.3g,8031.00 mg,7.48 g,65.07 g,4.65 g,grains
"Mushrooms, raw, enok",37,0.3g,3.00 mg,2.66 g,7.81 g,0.22 g,grains
Bacon and beef stick,517,44g,1420.00 mg,29.10 g,0.80 g,0.80 g,grains
"Salami, pork, Italia",425,37g,1890.00 mg,21.70 g,1.20 g,1.20 g,grains
"Peanuts, raw, spanis",570,50g,22.00 mg,26.15 g,15.83 g,0,grains
"Hominy, white, canne",72,0.9g,345.00 mg,1.48 g,14.26 g,1.82 g,grains
"Game meat, raw, moos",102,0.7g,65.00 mg,22.24 g,0.00 g,0,grains
"Pears, red anjou, ra",62,0.1g,1.00 mg,0.33 g,14.94 g,9.54 g,grains
"Horseradish, prepare",48,0.7g,420.00 mg,1.18 g,11.29 g,7.99 g,grains
"Fish, raw, butterfis",146,8g,89.00 mg,17.28 g,0.00 g,0,grains
"Lebanon bologna, bee",172,10g,1374.00 mg,19.03 g,0.44 g,0.00 g,grains
Ham and cheese sprea,245,19g,1197.00 mg,16.18 g,2.28 g,0,grains
"TACO BELL, Taco Sala",170,9.2g,363.00 mg,6.69 g,15.10 g,0,grains
"Sauce, worcestershir",78,0g,980.00 mg,0.00 g,19.46 g,10.03 g,grains
"Candies, marshmallow",318,0.2g,80.00 mg,1.80 g,81.30 g,57.56 g,grains
"Hummus, home prepare",177,8.6g,242.00 mg,4.86 g,20.12 g,0.27 g,grains
Horned melon (Kiwano,44,1.3g,2.00 mg,1.78 g,7.56 g,0,grains
Ice cream sundae con,254,14g,115.00 mg,3.00 g,28.89 g,21.26 g,grains
"Peppers, raw, serran",32,0.4g,10.00 mg,1.74 g,6.70 g,3.83 g,grains
"Cabbage, cooked, nap",12,0.2g,11.00 mg,1.10 g,2.23 g,0,grains
"Peppers, dried, anch",281,8.2g,43.00 mg,11.86 g,51.42 g,0,grains
"Parsley, freeze-drie",271,5.2g,391.00 mg,31.30 g,42.38 g,0,grains
"Spices, black, peppe",251,3.3g,20.00 mg,10.39 g,63.95 g,0.64 g,grains
"Spices, white, peppe",296,2.1g,5.00 mg,10.40 g,68.61 g,0,grains
"Yambean (jicama), ra",38,0.1g,4.00 mg,0.72 g,8.82 g,1.80 g,grains
"Nuts, dried, pilinut",719,80g,3.00 mg,10.80 g,3.98 g,0,grains
"Kiwifruit, raw, gree",61,0.5g,3.00 mg,1.14 g,14.66 g,8.99 g,grains
"Drumstick leaves, ra",64,1.4g,9.00 mg,9.40 g,8.28 g,0,grains
"Yautia (tannier), ra",98,0.4g,21.00 mg,1.46 g,23.63 g,0,grains
"Cucumber, raw, peele",12,0.2g,2.00 mg,0.59 g,2.16 g,1.38 g,grains
"Dandelion greens, ra",45,0.7g,76.00 mg,2.70 g,9.20 g,0.71 g,grains
"Melons, raw, honeyde",36,0.1g,18.00 mg,0.54 g,9.09 g,8.12 g,grains
Potato salad with eg,157,9.4g,329.00 mg,1.96 g,16.18 g,4.95 g,grains
"Mushrooms, raw, whit",22,0.3g,5.00 mg,3.09 g,3.26 g,1.98 g,grains
"Mushrooms, raw, more",31,0.6g,21.00 mg,3.12 g,5.10 g,0.60 g,grains
"Cheese, Mexican blen",358,29g,338.00 mg,23.54 g,1.75 g,1.23 g,grains
"Oranges, Florida, ra",46,0.2g,0.00 mg,0.70 g,11.54 g,9.14 g,grains
"SILK Vanilla, soymil",41,1.4g,39.00 mg,2.47 g,4.12 g,2.88 g,grains
"Papaya nectar, canne",57,0.2g,5.00 mg,0.17 g,14.51 g,13.91 g,grains
"Fiddlehead ferns, ra",34,0.4g,1.00 mg,4.55 g,5.54 g,0,grains
SILK Peach soy yogur,94,1.2g,15.00 mg,2.35 g,18.82 g,14.71 g,grains
SILK Plain soy yogur,66,1.8g,13.00 mg,2.64 g,9.69 g,5.29 g,grains
"PACE, Enchilada Sauc",40,0g,867.00 mg,1.67 g,8.33 g,6.67 g,grains
Yeast extract spread,185,0.9g,3380.00 mg,23.88 g,20.42 g,1.60 g,grains
"Tomatoes, raw, green",23,0.2g,13.00 mg,1.20 g,5.10 g,4.00 g,grains
"Mollusks, raw, snail",90,1.4g,70.00 mg,16.10 g,2.00 g,0.00 g,grains
"Emu, raw, fan fillet",103,0.8g,120.00 mg,22.50 g,0.00 g,0.00 g,grains
"Pasta, enriched, dry",371,1.5g,6.00 mg,13.04 g,74.67 g,2.67 g,grains
"Cookies, gingersnaps",416,9.8g,501.00 mg,5.60 g,76.90 g,19.92 g,grains
"Sour cream, fat free",74,0g,141.00 mg,3.10 g,15.60 g,0.39 g,grains
"MURRAY, Honey Graham",445,13g,477.00 mg,5.90 g,75.70 g,22.00 g,grains
"Frankfurter, chicken",223,16g,1027.00 mg,15.51 g,2.74 g,2.98 g,grains
"Ham, canned, chopped",239,19g,1280.00 mg,16.06 g,0.26 g,0.00 g,grains
"Spices, dried, thyme",276,7.4g,55.00 mg,9.11 g,63.94 g,1.71 g,grains
"Carrot juice, canned",40,0.2g,66.00 mg,0.95 g,9.28 g,3.91 g,grains
"Corn, dried (Navajo)",386,5.2g,13.00 mg,9.88 g,74.93 g,5.38 g,grains
"Pate, truffle flavor",327,29g,807.00 mg,11.20 g,6.30 g,0,grains
"Fruit butters, apple",173,0.3g,15.00 mg,0.39 g,42.47 g,35.30 g,grains
"Fast foods, coleslaw",153,9.9g,203.00 mg,0.95 g,14.89 g,12.19 g,grains
"Salami, beef, cooked",261,22g,1140.00 mg,12.60 g,1.90 g,1.50 g,grains
"Spices, chili powder",282,14g,2867.00 mg,13.46 g,49.70 g,7.19 g,grains
"Spices, caraway seed",333,15g,17.00 mg,19.77 g,49.90 g,0.64 g,grains
"Spices, dried, basil",233,4.1g,76.00 mg,22.98 g,47.75 g,1.71 g,grains
"Pickle relish, sweet",130,0.5g,811.00 mg,0.37 g,35.06 g,29.13 g,grains
"Chives, freeze-dried",311,3.5g,70.00 mg,21.20 g,64.29 g,0,grains
"Fish, raw, sablefish",195,15g,56.00 mg,13.41 g,0.00 g,0,grains
"Crackers, multigrain",482,20g,883.00 mg,7.10 g,67.60 g,12.00 g,grains
"Spices, ground, mace",475,32g,80.00 mg,6.71 g,50.50 g,0,grains
"Spices, onion powder",341,1g,73.00 mg,10.41 g,79.12 g,6.63 g,grains
"Rice noodles, cooked",108,0.2g,19.00 mg,1.79 g,24.01 g,0.03 g,grains
Barley flour or meal,345,1.6g,4.00 mg,10.50 g,74.52 g,0.80 g,grains
"Sesbania flower, raw",27,0g,15.00 mg,1.28 g,6.73 g,0,grains
"Garlic bread, frozen",350,17g,544.00 mg,8.36 g,41.72 g,3.69 g,grains
"KFC, Popcorn Chicken",351,22g,1140.00 mg,17.67 g,21.18 g,0.00 g,grains
"APPLEBEE'S, coleslaw",120,7.1g,178.00 mg,0.79 g,13.17 g,9.33 g,grains
"Rolls, sweet, dinner",321,7.4g,253.00 mg,10.04 g,53.58 g,15.38 g,grains
"Cherries, raw, sweet",63,0.2g,0.00 mg,1.06 g,16.01 g,12.82 g,grains
"Ostrich, raw, ground",165,8.7g,72.00 mg,20.22 g,0.00 g,0.00 g,grains
"SILK Coffee, soymilk",62,1.4g,41.00 mg,2.06 g,10.29 g,9.47 g,grains
"Snacks, banana chips",519,34g,6.00 mg,2.30 g,58.40 g,35.34 g,grains
"Peaches, raw, yellow",39,0.3g,0.00 mg,0.91 g,9.54 g,8.39 g,grains
"Rolls, wheat, dinner",273,6.3g,524.00 mg,8.60 g,46.00 g,1.63 g,grains
"Candies, HEATH BITES",530,30g,245.00 mg,3.94 g,63.39 g,60.02 g,grains
"Chicken, raw, ground",143,8.1g,60.00 mg,17.44 g,0.04 g,0.00 g,grains
"Pears, bartlett, raw",63,0.2g,1.00 mg,0.39 g,15.01 g,9.69 g,grains
"Toppings, strawberry",254,0.1g,21.00 mg,0.20 g,66.30 g,27.38 g,grains
"KEEBLER, Sugar Cones",375,3.7g,326.00 mg,7.30 g,78.00 g,26.40 g,grains
"Seaweed, raw, wakame",45,0.6g,872.00 mg,3.03 g,9.14 g,0.65 g,grains
"Seaweed, dried, agar",306,0.3g,102.00 mg,6.21 g,80.88 g,2.97 g,grains
"Bread, cracked-wheat",260,3.9g,538.00 mg,8.70 g,49.50 g,0,grains
"Amaranth leaves, raw",23,0.3g,20.00 mg,2.46 g,4.02 g,0,grains
"Barley, raw, pearled",352,1.2g,9.00 mg,9.91 g,77.72 g,0.80 g,grains
"Polish sausage, pork",326,29g,876.00 mg,14.10 g,1.63 g,0,grains
