food_group,name,calories,total_fat,sodium,protein,carbohydrate,sugars
fruits,"Bananas, raw",89,0.3g,1.00 mg,1.09 g,22.84 g,12.23 g
fruits,"Apples, with skin, f",63,0.2g,1.00 mg,0.20 g,15.22 g,11.68 g
fruits,"Strawberries, raw",32,0.3g,1.00 mg,0.67 g,7.68 g,4.89 g
fruits,"Grapes, raw, america",67,0.4g,2.00 mg,0.63 g,17.15 g,16.25 g
fruits,"Watermelon, raw",30,0.2g,1.00 mg,0.61 g,7.55 g,6.20 g
fruits,"Blueberries, raw",57,0.3g,1.00 mg,0.74 g,14.49 g,9.96 g
fruits,"Lemons, without peel",29,0.3g,2.00 mg,1.10 g,9.32 g,2.50 g
fruits,"Peaches, raw, yellow",39,0.3g,0.00 mg,0.91 g,9.54 g,8.39 g
fruits,"Pineapple, all varie",50,0.1g,1.00 mg,0.54 g,13.12 g,9.85 g
fruits,"Cherries, raw, sweet",63,0.2g,0.00 mg,1.06 g,16.01 g,12.82 g
fruits,"Melons, raw, cantalo",34,0.2g,16.00 mg,0.84 g,8.16 g,7.86 g
fruits,"Pears, raw",57,0.1g,1.00 mg,0.36 g,15.23 g,9.75 g
fruits,"Limes, raw",30,0.2g,2.00 mg,0.70 g,10.54 g,1.69 g
fruits,"Raspberries, raw",52,0.7g,1.00 mg,1.20 g,11.94 g,4.42 g
fruits,"Blackberries, raw",43,0.5g,1.00 mg,1.39 g,9.61 g,4.88 g
fruits,"Plums, raw",46,0.3g,0.00 mg,0.70 g,11.42 g,9.92 g
fruits,"Nectarines, raw",44,0.3g,0.00 mg,1.06 g,10.55 g,7.89 g
fruits,"Apricots, raw",48,0.4g,1.00 mg,1.40 g,11.12 g,9.24 g
grains,Oats,389,6.9g,2.00 mg,16.89 g,66.27 g,0
grains,"Bagels, multigrain",241,1.2g,359.00 mg,9.90 g,47.47 g,8.66 g
grains,"Bread, italian",271,3.5g,550.00 mg,8.80 g,50.10 g,3.17 g
grains,Cornstarch,381,0.1g,9.00 mg,0.26 g,91.27 g,0.00 g
grains,Barley flour or meal,345,1.6g,4.00 mg,10.50 g,74.52 g,0.80 g
grains,"Bread, rye",259,3.3g,603.00 mg,8.50 g,48.30 g,3.85 g
grains,"Rye flour, medium",349,1.5g,2.00 mg,10.88 g,75.43 g,1.10 g
grains,"Quinoa, cooked",120,1.9g,7.00 mg,4.40 g,21.30 g,0.87 g
grains,"Cereals, dry, instan",366,1.4g,571.00 mg,10.60 g,75.50 g,0.40 g
proteins,"Chicken, thigh meat ",226,15g,335.00 mg,22.51 g,0.12 g,0.12 g
proteins,"Chicken breast, prep",98,1.9g,1032.00 mg,17.40 g,2.92 g,0.75 g
proteins,"Nuts, almonds",579,50g,1.00 mg,21.15 g,21.55 g,4.35 g
proteins,"Nuts, pecans",691,72g,0.00 mg,9.17 g,13.86 g,3.97 g
proteins,"Pork, cooked, lean a",172,8.3g,969.00 mg,22.30 g,0.30 g,0.00 g
proteins,"Salami, beef, pork, ",378,32g,1756.00 mg,21.07 g,0.72 g,0.26 g
proteins,"Salami, pork, Italia",425,37g,1890.00 mg,21.70 g,1.20 g,1.20 g
proteins,"Ham, canned, chopped",239,19g,1280.00 mg,16.06 g,0.26 g,0.00 g
proteins,"Beef, raw, brisket, ",198,15g,1217.00 mg,14.68 g,0.14 g,0
proteins,"Beef, smoked, cooked",312,27g,1131.00 mg,14.11 g,2.42 g,0
proteins,"Sausage, pork, beef,",230,19g,879.00 mg,10.50 g,2.60 g,0.00 g
proteins,"Yogurt, nonfat milk,",112,0g,135.00 mg,3.53 g,23.53 g,14.97 g
proteins,"Soybeans, raw, green",147,6.8g,15.00 mg,12.95 g,11.05 g,0
proteins,"Pastrami, turkey",139,6.2g,1123.00 mg,16.30 g,3.34 g,3.34 g
proteins,"Nuts, raw, macadamia",718,76g,5.00 mg,7.91 g,13.82 g,4.57 g
proteins,"Nuts, raw, pistachio",560,45g,1.00 mg,20.16 g,27.17 g,7.66 g
proteins,"Nuts, raw, cashew nu",553,44g,12.00 mg,18.22 g,30.19 g,5.91 g
proteins,"Ground turkey, raw",148,7.7g,58.00 mg,19.66 g,0.00 g,0.00 g
vegetables,"Broccoli, raw",34,0.4g,33.00 mg,2.82 g,6.64 g,1.70 g
vegetables,"Potatoes, skin, raw",58,0.1g,10.00 mg,2.57 g,12.44 g,0
vegetables,"Soybeans, raw, green",147,6.8g,15.00 mg,12.95 g,11.05 g,0
vegetables,"Beans, raw, green, s",31,0.2g,6.00 mg,1.83 g,6.97 g,3.26 g
vegetables,"Mushrooms, raw, whit",22,0.3g,5.00 mg,3.09 g,3.26 g,1.98 g
vegetables,"Celery, raw",16,0.2g,80.00 mg,0.69 g,2.97 g,1.34 g
vegetables,"Eggplant, raw",25,0.2g,2.00 mg,0.98 g,5.88 g,3.53 g
vegetables,"Cauliflower, raw",25,0.3g,30.00 mg,1.92 g,4.97 g,1.91 g
vegetables,"Cabbage, kimchi",15,0.5g,498.00 mg,1.10 g,2.40 g,1.06 g
vegetables,"Asparagus, raw",20,0.1g,2.00 mg,2.20 g,3.88 g,1.88 g
vegetables,"Cucumber, raw, peele",12,0.2g,2.00 mg,0.59 g,2.16 g,1.38 g
vegetables,"Spinach, raw",23,0.4g,79.00 mg,2.86 g,3.63 g,0.42 g
vegetables,"Corn, raw, yellow, s",86,1.4g,15.00 mg,3.27 g,18.70 g,6.26 g
vegetables,"Mushrooms, raw, mait",31,0.2g,1.00 mg,1.94 g,6.97 g,2.07 g
vegetables,"Sweet potato, mashed",101,0.2g,75.00 mg,1.98 g,23.19 g,5.45 g
vegetables,"Onions, raw, spring ",32,0.2g,16.00 mg,1.83 g,7.34 g,2.33 g
vegetables,"Cabbage, raw, stored",24,0.2g,18.00 mg,1.21 g,5.37 g,0
vegetables,"Carrots, raw, baby",35,0.1g,78.00 mg,0.64 g,8.24 g,4.76 g
vegetables,"Tomatoes, raw, orang",16,0.2g,42.00 mg,1.16 g,3.18 g,0
vegetables,"Pepper, raw, banana",27,0.5g,13.00 mg,1.66 g,5.35 g,1.95 g
vegetables,"Peppers, raw, yellow",27,0.2g,2.00 mg,1.00 g,6.32 g,0
vegetables,"Kale, raw",49,0.9g,38.00 mg,4.28 g,8.75 g,2.26 g
vegetables,"Beets, raw",43,0.2g,78.00 mg,1.61 g,9.56 g,6.76 g
dairy,"Cheese, Mexican blen",358,29g,338.00 mg,23.54 g,1.75 g,1.23 g
dairy,"Cheese, provolone",351,27g,876.00 mg,25.58 g,2.14 g,0.56 g
dairy,"Cheese, cheddar",404,33g,653.00 mg,22.87 g,3.09 g,0.48 g
dairy,"Cheese, monterey",373,30g,600.00 mg,24.48 g,0.68 g,0.50 g
dairy,"Butter, salted",717,81g,643.00 mg,0.85 g,0.06 g,0.06 g
dairy,Ice cream cookie san,240,7.4g,162.00 mg,3.70 g,39.60 g,21.30 g
dairy,"Milk, fluid, sheep",108,7g,44.00 mg,5.98 g,5.36 g,0
dairy,"Milk, whole, fluid, ",62,3.3g,105.00 mg,3.21 g,4.88 g,4.88 g
dairy,"Sour cream, fat free",74,0g,141.00 mg,3.10 g,15.60 g,0.39 g
dairy,"Sour cream, light",136,11g,83.00 mg,3.50 g,7.10 g,0.22 g
dairy,"Cheese, cream",350,34g,314.00 mg,6.15 g,5.52 g,3.76 g
